section,metric,value,unit,status,primary_source
NH3,atomic_top3,"Ru > Os > Fe",rank order,canonical,NH3-FINAL-1.1
NH3,economic_top3,"Fe > Ru > Os",rank order,canonical,NH3-FINAL-1.1
NH3,Fe_cost,15.292,USD/t NH3,canonical,NH3-FINAL-1.1
NH3,Ru_cost,22.031,USD/t NH3,canonical,NH3-FINAL-1.1
NH3,Os_cost,25.832,USD/t NH3,canonical,NH3-FINAL-1.1
NH3,top3_spearman_rho,-0.50,dimensionless,canonical,NH3-FINAL-1.1
NH3,top3_kendall_tau,-0.33,dimensionless,canonical,NH3-FINAL-1.1
NH3,full15_raw_spearman_rho,0.929,dimensionless,canonical,NH3-FINAL-1.1
NH3,Fe_feasibility,0.799,fraction,canonical,NH3-FINAL-1.1
NH3,Fe_top1_survival,0.282,fraction,canonical,NH3-FINAL-1.1
NH3,Fe_top3_actionable,0.940,fraction,canonical,NH3-FINAL-1.1
NH3,Ru_activity_only_break_even,201.22,fold,canonical,NH3-FINAL-1.1
NH3,scaling_headroom_673K,1.090,fold,canonical,NH3-FINAL-1.1
NH3,scaling_headroom_max,2.525,fold,canonical,NH3-FINAL-1.1
MeOH,upstream_metric,STY_per_g_Re,text,canonical,MEOH-D01-v3
MeOH,economic_ranking,"5%Re-200C > 1%Re-200C > 1%Re-250C > 5%Re-250C",rank order,canonical,MEOH-D01-v3
MeOH,spearman_rho,0.20,dimensionless,canonical,MEOH-D01-v3
MeOH,kendall_tau,0.00,dimensionless,canonical,MEOH-D01-v3
MeOH,pairwise_inversions,3/6,count,canonical,MEOH-D01-v3
MeOH,STY_leverage,0.00289,dimensionless,canonical,MEOH-D01-v3
MeOH,conversion_leverage,0.05883,dimensionless,canonical,MEOH-D01-v3
MeOH,CH4_suppression_leverage,0.37579,dimensionless,canonical,MEOH-D01-v3
AuTiO2,spearman_rho,1.000,dimensionless,canonical,Au/TiO2-RP V1.1
AuTiO2,kendall_tau,1.000,dimensionless,canonical,Au/TiO2-RP V1.1
AuTiO2,pairwise_inversions,0,count,canonical,Au/TiO2-RP V1.1
AuTiO2,full_order_preservation,10000/10000,draws,canonical,Au/TiO2-RP V1.1
Agent,fixed_VOI_completion_threshold,206,CU,canonical,DISCOVER-BOUNDARY-C1
Agent,strong_175CU_complete,19/20,runs,canonical,DISCOVER-BOUNDARY-C1
Agent,mini_175CU_complete,0/20,runs,canonical,DISCOVER-BOUNDARY-C1
Agent,nano_175CU_complete,0/20,runs,canonical,DISCOVER-BOUNDARY-C1
Agent,strong_225CU_complete,20/20,runs,canonical,DISCOVER-BOUNDARY-C1
Agent,mini_225CU_complete,6/20,runs,canonical,DISCOVER-BOUNDARY-C1
Agent,nano_225CU_complete,0/20,runs,canonical,DISCOVER-BOUNDARY-C1
CrossReaction,historical_273_410_ratio,"273-410",ratio,archived_not_current,pre-FINAL-1.1
